model;brand;body_type;segment;usable_battery_kwh;real_range_km;efficiency_wh_km;zero_to_100_s;top_speed_kmh;towing_capacity_kg;price;charging_time_min;max_charging_power_kw;horsepower_hp;torque_nm;maintenance_cost_eur_year;seating_capacity;boot_capacity_l;adas_level;safety_rating_ncap;usage_type;energy_cost_eur_100km;insurance_rating;powertrain_type;fuel_type
Kia R7 Pro;Kia;Sedan;D;0;700;700;8,9;250;854;57524;0;0;247;359;562;5;422;2;4;Personal;13,89;5;Essence;Essence
Fiat T-Class;Fiat;Crossover;D;0;929;617;10;212;1482;51816;0;0;133;256;466;7;537;1;3;Personal;10,17;2;Diesel;Diesel
Mini P8x;Mini;Wagon;B;1,7;900;421;9,7;238;1212;36041;0;0;139;198;609;5;740;1;4;Personal;7,24;5;Hybrid;Hybride Essence
Honda F3x;Honda;Hatchback;A;0;782;467;11,7;189;865;25625;0;0;83;122;499;5;341;0;3;Personal;8,92;3;Essence;Essence
BMW E8 Pro;BMW;Hatchback;C;1,3;900;312;10,7;212;811;40468;0;0;90;133;511;5;465;0;3;Personal;5,36;2;Hybrid;Hybride Essence
Cupra EE-99;Cupra;SUV;B;0;749;488;9,7;227;1729;36181;0;0;152;207;678;5;801;1;3;Personal;9,32;4;Essence;Essence
Hyundai D4 Pro;Hyundai;Wagon;C;0;792;620;9,9;235;1197;40456;0;0;170;251;564;5;731;1;5;Personal;11,85;4;Essence;Essence
Kia QQ-11;Kia;Crossover;F;0;1071;562;6,8;250;1668;119420;0;0;401;666;880;7;625;3;4;Personal;10,74;10;Essence;Essence
Mercedes-Benz S66;Mercedes-Benz;Wagon;B;0;721;545;10,2;223;993;34166;0;0;135;202;529;5;772;1;5;Commercial;10,41;2;Essence;Essence
Alfa Romeo 777;Alfa Romeo;SUV;C;0;746;662;10,4;203;1773;36173;0;0;110;159;335;5;627;0;3;Personal;12,65;3;Essence;Essence
Skoda 666;Skoda;Sedan;D;13,3;900;500;8,4;250;743;57324;33;0;236;389;485;5;548;1;4;Personal;6,21;7;Hybrid;Hybride Essence
Aston Martin B-Class;Aston Martin;SUV;C;0;713;638;9,6;250;2093;46875;0;0;196;306;481;5;820;1;4;Commercial;12,18;5;Essence;Essence
Mazda D66;Mazda;Sedan;A;0;783;508;10,5;206;993;26084;0;0;71;108;506;5;456;0;5;Personal;9,69;2;Essence;Essence
Ford M-Class;Ford;Wagon;B;0;785;514;9,8;233;1140;33018;0;0;164;320;781;5;606;1;4;Personal;8,48;2;Diesel;Diesel
Alfa Romeo Q-Class;Alfa Romeo;Sedan;E;1,4;900;500;8,9;231;896;73777;0;0;181;270;581;5;494;1;4;Personal;9,94;6;Hybrid;Hybride Essence
Peugeot E77;Peugeot;Sedan;B;1;617;500;8,5;241;801;41938;0;0;199;313;542;5;550;1;4;Personal;10,55;4;Hybrid;Hybride Essence
Toyota K5;Toyota;SUV;D;0;907;576;7,6;250;2039;57611;0;0;222;292;547;7;728;1;5;Sports;11;4;Essence;Essence
BMW FF-8;BMW;SUV;D;0;1100;450;10,5;179;1525;48476;0;0;103;174;627;5;533;0;5;Commercial;7,2;3;Diesel;Diesel
Ford D9;Ford;Crossover;B;0;720;624;10,7;208;1539;33585;0;0;145;237;637;7;743;1;4;Personal;10,29;3;Diesel;Diesel
Nissan CC1;Nissan;SUV;D;1,6;900;359;9,1;218;1791;49816;0;0;136;236;627;6;613;1;3;Personal;6,17;4;Hybrid;Hybride Essence
Hyundai Q5x;Hyundai;MPV;B;0;936;506;11,1;195;1077;33648;0;0;106;159;479;7;743;0;4;Personal;8,35;1;Diesel;Diesel
Skoda LL-77;Skoda;Coupe;C;1,3;900;356;8,8;250;470;45476;0;0;197;325;838;2;268;1;4;Personal;6,11;4;Hybrid;Hybride Essence
Dacia ZZ-33;Dacia;Convertible;C;0;726;575;9,5;229;0;38920;0;0;140;234;492;2;185;1;3;Personal;10,98;4;Essence;Essence
Land Rover R88;Land Rover;Crossover;F;0;1100;450;6,3;250;1688;125146;0;0;385;650;655;7;677;3;4;Personal;7,04;10;Diesel;Diesel
Kia WW-88;Kia;Crossover;B;2;900;321;10,9;239;1503;37083;0;0;143;204;679;6;576;1;3;Commercial;5,52;2;Hybrid;Hybride Essence
Renault Z66;Renault;Crossover;B;0;524;700;11,5;194;1610;30851;0;0;114;157;626;7;579;0;4;Personal;14,84;3;Essence;Essence
Ferrari 777;Ferrari;SUV;E;10,5;900;300;7,4;250;1742;85386;57;0;319;459;564;6;644;2;5;Personal;5;7;Hybrid;Hybride Essence
Volkswagen H7x;Volkswagen;SUV;B;0;1067;451;10,5;227;1961;35909;0;0;116;235;651;7;578;0;4;Personal;7,43;1;Diesel;Diesel
Audi SS1;Audi;Crossover;E;0;1004;619;8,6;250;1504;72835;0;0;249;329;548;5;465;2;5;Personal;11,83;6;Essence;Essence
Honda ZZ-55;Honda;Hatchback;D;0;804;700;10,7;250;829;54659;0;0;194;297;617;5;364;1;5;Personal;13,48;4;Essence;Essence
Hyundai 111;Hyundai;Hatchback;C;0;765;603;10;240;768;38969;0;0;142;204;564;5;420;1;5;Personal;11,51;2;Essence;Essence
Dacia S-Class;Dacia;Coupe;D;16,9;900;348;8,8;250;496;65418;25;0;261;431;912;4;351;2;5;Personal;5;7;Hybrid;Hybride Essence
Opel C4 Pro;Opel;Hatchback;D;0;813;700;9,2;235;820;53853;0;0;178;301;774;5;396;1;4;Personal;12,19;4;Diesel;Diesel
Skoda T1 Pro;Skoda;SUV;B;0;800;498;10,6;202;2302;30567;0;0;82;120;627;5;527;0;4;Personal;9,5;2;Essence;Essence
Ferrari G8 Pro;Ferrari;Crossover;F;1,3;900;411;8,5;250;1364;111373;0;0;303;402;723;7;511;2;5;Personal;7,06;7;Hybrid;Hybride Essence
Renault A2 Pro;Renault;Sedan;E;0;1065;639;9,5;240;885;66727;0;0;179;362;457;5;490;1;5;Personal;10,54;5;Diesel;Diesel
Mercedes-Benz F1 Pro;Mercedes-Benz;MPV;E;0;1100;450;7,5;250;1045;70227;0;0;309;483;658;7;958;2;4;Personal;8,08;7;Essence;Essence
Lamborghini G-Class;Lamborghini;Sedan;C;0;768;625;11;208;950;36905;0;0;109;145;463;5;482;0;4;Personal;11,94;4;Essence;Essence
Peugeot CC-99;Peugeot;Convertible;C;0;826;601;9,7;208;27;39227;0;0;135;227;525;3;216;1;4;Personal;11,48;3;Essence;Essence
Subaru NN1;Subaru;Wagon;C;0;819;543;8,8;250;1433;50299;0;0;207;350;585;5;688;1;3;Personal;10,38;3;Essence;Essence
Fiat AA-66;Fiat;Sedan;A;0;924;450;10,5;203;869;29259;0;0;99;175;354;5;600;0;4;Personal;6,82;2;Diesel;Diesel
Ford F7x;Ford;Hatchback;C;0;806;574;9,7;227;814;45445;0;0;181;372;574;5;447;1;3;Personal;9,47;4;Diesel;Diesel
Mitsubishi R6;Mitsubishi;Sedan;C;13,9;900;380;10,8;201;650;39354;28;0;113;160;533;5;553;0;4;Personal;5;4;Hybrid;Hybride Essence
Opel I2x;Opel;SUV;D;13,3;900;381;7,6;250;1818;68709;55;0;271;467;724;7;778;2;4;Personal;5,15;6;Hybrid;Hybride Essence
Ford 999;Ford;Sedan;C;0;689;634;11,4;223;796;38150;0;0;140;241;440;5;386;1;4;Personal;12,12;3;Essence;Essence
Ford K33;Ford;Pickup;C;0;740;611;10,7;208;2500;36157;0;0;104;163;418;2;0;0;4;Sports;11,68;2;Essence;Essence
Seat I22;Seat;Sedan;D;0;1080;551;9,8;235;1038;49701;0;0;164;297;496;5;417;1;3;Personal;9,09;4;Diesel;Diesel
Citroën K77;Citroën;Coupe;C;0,9;900;381;9,3;250;428;52574;0;0;238;322;554;2;241;1;5;Personal;6,55;4;Hybrid;Hybride Essence
Honda B66;Honda;Hatchback;F;0;1100;565;6,8;250;765;111216;0;0;312;490;552;5;458;2;3;Personal;9,33;8;Diesel;Diesel
Audi A11;Audi;Pickup;D;0;738;700;9,7;234;2457;52074;0;0;150;227;699;5;0;1;4;Personal;13,4;4;Essence;Essence
Renault N-Class;Renault;Sedan;A;0;540;700;11,5;185;906;24899;0;0;73;128;587;5;430;0;5;Commercial;13,87;2;Essence;Essence
Volkswagen EE7;Volkswagen;SUV;A;2;712;485;9,7;217;1849;26072;0;0;117;164;846;7;503;0;4;Sports;8,33;3;Hybrid;Hybride Essence
Kia II7;Kia;Crossover;D;0;996;547;8,8;240;1380;56297;0;0;211;373;563;7;565;1;5;Personal;9,02;6;Diesel;Diesel
Subaru 444;Subaru;Hatchback;C;0;668;670;11;215;580;42468;0;0;163;217;651;5;301;1;4;Personal;12,79;4;Essence;Essence
Mitsubishi UU-4;Mitsubishi;Coupe;D;0;1005;606;10;250;604;61529;0;0;214;357;483;3;359;1;3;Commercial;10;5;Diesel;Diesel
Kia RR-99;Kia;Sedan;B;0;838;561;10,4;236;819;35875;0;0;156;266;770;5;381;1;5;Personal;9,26;2;Diesel;Diesel
Lancia D5x;Lancia;Crossover;A;0;701;509;11,9;186;1654;22734;0;0;79;141;472;6;471;0;4;Personal;9,73;1;Essence;Essence
Toyota L8;Toyota;Crossover;C;1,4;761;500;8,6;250;1287;52020;0;0;253;353;592;5;725;2;4;Personal;10,4;5;Hybrid;Hybride Essence
Audi O2 Pro;Audi;Crossover;D;0;1100;451;9,2;246;1612;55819;0;0;185;288;764;6;756;1;4;Personal;7,44;5;Diesel;Diesel
Mercedes-Benz AA-77;Mercedes-Benz;Hatchback;F;0;966;690;7,3;250;701;113879;0;0;374;496;820;5;487;3;4;Personal;13,17;9;Essence;Essence
Subaru AA-5;Subaru;Hatchback;E;0;916;665;8,2;250;689;76348;0;0;226;353;468;5;408;1;5;Personal;12,69;5;Essence;Essence
Ferrari T2 Pro;Ferrari;Hatchback;C;2;900;493;11,2;191;718;40300;0;0;113;176;505;5;372;0;4;Commercial;7,31;3;Hybrid;Hybride Diesel
Toyota SS-3;Toyota;Sedan;D;1,7;812;500;9,7;213;726;49463;0;0;148;207;710;5;601;1;5;Commercial;10,73;3;Hybrid;Hybride Essence
Kia T-Class;Kia;Hatchback;A;1;900;369;10,1;227;835;29944;0;0;127;181;482;5;443;1;5;Personal;6,34;2;Hybrid;Hybride Essence
Nissan CC-99;Nissan;MPV;C;1,1;900;359;9,2;250;1148;50069;0;0;216;316;617;8;520;1;4;Personal;6,16;4;Hybrid;Hybride Essence
Toyota EE-6;Toyota;SUV;E;0;957;645;10,1;250;1700;74056;0;0;219;329;696;6;505;1;4;Sports;10,63;6;Diesel;Diesel
Toyota F4 Pro;Toyota;Crossover;C;0,9;759;500;11,1;212;1760;46865;0;0;135;230;700;5;724;1;4;Personal;9,31;4;Hybrid;Hybride Diesel
Opel O9 Pro;Opel;SUV;F;1,7;900;390;6,7;250;1758;118380;0;0;360;608;746;7;729;3;4;Commercial;6,7;7;Hybrid;Hybride Essence
Volkswagen BB-11;Volkswagen;Sedan;B;0;732;608;10,6;198;796;28283;0;0;115;168;490;5;398;0;4;Personal;11,61;1;Essence;Essence
Fiat UU-55;Fiat;SUV;B;0;731;552;11,2;213;1898;35053;0;0;107;195;328;7;820;0;4;Personal;9,1;3;Diesel;Diesel
Renault A11;Renault;Sedan;C;0;1045;508;11,5;198;932;39837;0;0;109;183;650;5;516;0;3;Personal;8,37;3;Diesel;Diesel
Fiat II-55;Fiat;SUV;E;0;1100;450;6,8;250;1921;82382;0;0;277;419;687;5;800;2;4;Personal;6,08;7;Diesel;Diesel
Vauxhall M4x;Vauxhall;SUV;C;1;884;500;9,2;239;1810;49761;0;0;196;313;781;6;806;1;5;Commercial;8,89;4;Hybrid;Hybride Diesel
Peugeot K1 Pro;Peugeot;SUV;D;0;1100;450;8,1;250;1915;65195;0;0;225;429;704;7;685;1;3;Personal;6,08;5;Diesel;Diesel
BMW Z99;BMW;Pickup;B;0;1043;450;10,4;199;2500;34614;0;0;116;170;452;2;0;0;3;Commercial;7,95;2;Essence;Essence
Citroën 222;Citroën;Sedan;D;15,1;900;377;8,9;233;809;53861;36;0;173;245;404;5;393;1;4;Personal;5,09;2;Hybrid;Hybride Essence
